NHL;Player;new;old;Pos;GP;G / W;A / SO;P;GG;AA;PP;Salary;PoolRank;OT
933;Tim Gettinger;NYR;NYR;L;8;0;0;0;0;0;0;750000;986;0
934;William Lockwood;VAN;VAN;R;13;0;0;0;0;0;0;750000;987;0
935;Max Jones;ANA;ANA;L;2;0;0;0;0;0;0;1295000;988;0
936;Connor Bunnaman;FLA;PHI;C;15;0;0;0;0;0;0;750000;989;0
937;Sean Day;TBL;TBL;D;2;0;0;0;0;0;0;750000;990;0
938;Jacob MacDonald;COL;COL;D;8;0;0;0;0;0;0;762500;991;0
939;Anthony Greco;None;NYR;R;1;0;0;0;0;0;0;0;992;0
940;Tanner Laczynski;PHI;PHI;C;1;0;0;0;0;0;0;762500;993;0
941;Mikhail Maltsev;COL;COL;L;18;0;0;0;0;0;0;800000;994;0
942;Rhett Gardner;DAL;DAL;C;4;0;0;0;0;0;0;750000;995;0
943;Michael Eyssimont;WPG;WPG;C;1;0;0;0;0;0;0;750000;996;0
944;Chase Priskie;BUF;FLA;D;4;0;0;0;0;0;0;800000;997;0
945;Kristians Rubins;OTT;TOR;D;3;0;0;0;0;0;0;750000;998;0
946;Mason Shaw;MIN;MIN;C;3;0;0;0;0;0;0;750000;999;0
947;Conor Timmins;ARI;ARI;D;6;0;0;0;0;0;0;850000;1000;0
948;Cale Fleury;SEA;SEA;D;9;0;0;0;0;0;0;750000;1001;0
949;Jaret Anderson Dolan;LAK;LAK;C;7;0;0;0;0;0;0;750000;1002;0
950;Dmitri Samorukov;EDM;EDM;D;1;0;0;0;0;0;0;775000;1003;0
951;Jack Rathbone;VAN;VAN;D;9;0;0;0;0;0;0;850000;1004;0
952;Pierre Olivier Joseph;PIT;PIT;D;4;0;0;0;0;0;0;825000;1005;0
953;CJ Smith;NYR;CAR;L;1;0;0;0;0;0;0;750000;1006;0
954;Mike Vecchione;None;WSH;R;1;0;0;0;0;0;0;0;1007;0
955;Johnathan Kovacevic;WPG;WPG;D;4;0;0;0;0;0;0;766667;1008;0
956;Jakub Galvas;CHI;CHI;D;6;0;0;0;0;0;0;867500;1009;0
957;Ben Jones;None;VGK;C;2;0;0;0;0;0;0;0;1010;0
958;Wyatt Kalynuk;VAN;CHI;D;5;0;0;0;0;0;0;750000;1011;0
959;Alexander True;None;SEA;C;8;0;0;0;0;0;0;0;1012;0
960;Joey Keane;None;CAR;D;1;0;0;0;0;0;0;0;1013;0
961;Sheldon Rempal;VGK;VAN;R;1;0;0;0;0;0;0;762500;1014;0
962;Nicolas Beaudin;CHI;CHI;D;2;0;0;0;0;0;0;863333;1015;0
963;Martin Kaut;COL;COL;R;6;0;0;0;0;0;0;863333;1016;0
964;Alexander Alexeyev;WAS;WSH;D;1;0;0;0;0;0;0;863333;1017;0
965;Filip Hallander;PIT;PIT;C;1;0;0;0;0;0;0;764167;1018;0
966;Grigori Denisenko;FLA;FLA;L;1;0;0;0;0;0;0;925000;1019;0
967;Sampo Ranta;COL;COL;L;10;0;0;0;0;0;0;925000;1020;0
968;Ty Dellandrea;DAL;DAL;C;1;0;0;0;0;0;0;863333;1021;0
969;Liam Foudy;CLB;CBJ;C;1;0;0;0;0;0;0;762500;1022;0
970;Cameron Hillis;MTL;MTL;C;1;0;0;0;0;0;0;838333;1023;0
971;Jordan Gross;NAS;COL;D;1;0;0;0;0;0;0;762500;1024;0
972;Declan Chisholm;WPG;WPG;D;2;0;0;0;0;0;0;815000;1025;0
973;Hunter Drew;ANA;ANA;D;2;0;0;0;0;0;0;793333;1026;0
974;David Gustafsson;WPG;WPG;C;2;0;0;0;0;0;0;775000;1027;0
975;Egor Sokolov;OTT;OTT;L;8;0;0;0;0;0;0;818333;1028;0
976;Cole Reinhardt;OTT;OTT;L;1;0;0;0;0;0;0;813333;1029;0
977;Brayden Pachal;VGK;VGK;D;2;0;0;0;0;0;0;750000;1030;0
978;Egor Zamula;None;PHI;D;10;0;0;0;0;0;0;0;1031;0
979;Samuel Fagemo;LAK;LAK;L;4;0;0;0;0;0;0;795000;1032;0
980;Jon Lizotte;None;MIN;D;1;0;0;0;0;0;0;0;1033;0
981;Kaedan Korczak;VGK;VGK;D;1;0;0;0;0;0;0;789167;1034;0
982;Brayden Tracey;ANA;ANA;L;1;0;0;0;0;0;0;863333;1035;0
983;Alex Turcotte;LAK;LAK;C;8;0;0;0;0;0;0;894167;1036;0
984;Artemi Kniazev;SJS;SJS;D;1;0;0;0;0;0;0;789167;1037;0
985;Victor Soderstrom;ARI;ARI;D;16;0;0;0;0;0;0;863333;1038;0
986;Pavel Dorofeyev;VGK;VGK;L;2;0;0;0;0;0;0;925000;1039;0
987;Cole Schwindt;CGY;FLA;C;3;0;0;0;0;0;0;855833;1040;0
988;Viktor Lodin;OTT;OTT;C;1;0;0;0;0;0;0;830000;1041;0
989;Tyce Thompson;NJD;NJD;R;2;0;0;0;0;0;0;762500;1042;0
990;Bryce Kindopp;ANA;ANA;R;1;0;0;0;0;0;0;925000;1043;0
991;Ben McCartney;ARI;ARI;L;2;0;0;0;0;0;0;813333;1044;0
992;Zachary Hayes;None;VGK;D;3;0;0;0;0;0;0;0;1045;0
993;Brandon Biro;BUF;BUF;L;1;0;0;0;0;0;0;762500;1046;0
994;Cole Smith;NAS;NSH;L;8;0;0;0;0;0;0;750000;1047;0
995;Mitchell Chaffee;MIN;MIN;R;2;0;0;0;0;0;0;750000;1048;0
996;Marco Rossi;MIN;MIN;C;2;0;0;0;0;0;0;863333;1049;0
997;Jacob Perreault;ANA;ANA;R;1;0;0;0;0;0;0;863333;1050;0
998;JJ Peterka;None;BUF;R;2;0;0;0;0;0;0;0;1051;0
999;Isaak Phillips;CHI;CHI;D;4;0;0;0;0;0;0;859167;1052;0
1000;Adam Raska;SJS;SJS;R;5;0;0;0;0;0;0;848333;1053;0
